Gene Symbol,Gene ID,Interaction Count,Organism Count
AKR1B10,57016,1,1
AKR1B8,14187,1,1
AKR1C12,622402,1,1
AKR1C3,8644,1,1
AKT3,10000,1,1
AKTIP,64400,1,1
ALB,213,1,1
ALDH1B1,219,1,1
ALDH1L1,10840,1,1
ALDH3B2,222,1,1
ALDOART2,79459,1,1
ALG13,79868,1,1
ALOX5,240,1,1
ALPK2,115701,1,1
ALPL,249,1,1
ALYREF,10189,1,1
ALYREF2,56009,1,1
AMDHD2,51005,1,1
AMER2,219287,1,1
AMMECR1,9949,1,1
AMN,81693,1,1
AMPD3,272,1,1
ANG4,219033,1,1
ANGPTL4,51129,1,1
ANK2,287,1,1
ANKFN1,162282,1,1
ANKLE1,126549,1,1
ANKRD22,118932,1,1
ANKRD39,51239,1,1
ANKRD52,283373,1,1
ANLN,54443,1,1
ANO4,121601,1,1
ANP32B,10541,1,1
ANP32E,81611,1,1
ANPEP,290,1,1
ANXA2,302,1,1
AOC1,26,1,1
AOPEP,84909,1,1
AP5S1,55317,1,1
APBA2,321,1,1
APBB1IP,54518,1,1
APBB2,323,1,1
APH1B,83464,1,1
APOB,338,1,1
APOBEC3B,9582,1,1
APOC2,344,1,1
APOC3,345,1,1
APOL6,80830,1,1
APPL2,55198,1,1
AQP5,362,1,1
ARAP3,64411,1,1
AREG,374,1,1
ARHGAP18,93663,1,1
ARHGAP24,83478,1,1
ARHGAP28,79822,1,1
ARHGAP45,23526,1,1
ARHGEF2,9181,1,1
ARHGEF26,26084,1,1
ARHGEF40,55701,1,1
ARL15,54622,1,1
ARL6IP5,10550,1,1
ARMC10,83787,1,1
ARMCX1,51309,1,1
ARNT,405,1,1
ARNT2,9915,1,1
ARRDC4,91947,1,1
ARSI,340075,1,1
ASAH2,56624,1,1
ASAP2,8853,1,1
ASB13,79754,1,1
ASF1A,25842,1,1
ASF1B,55723,1,1
ASPM,259266,1,1
ASRGL1,80150,1,1
ATF6,22926,1,1
ATG10,83734,1,1
ATG4B,23192,1,1
ATG5,9474,1,1
ATIC,471,1,1
ATL1,51062,1,1
ATP10A,57194,1,1
ATP10D,57205,1,1
ATP2C2-AS1,105371374,1,1
ATP5F1A,498,1,1
ATP6V1G1,9550,1,1
ATP7A,538,1,1
