Gene Symbol,Gene ID,Interaction Count,Organism Count
EEF2,1938,4,3
EGF,1950,4,2
ENO1,2023,4,3
ENO2,2026,4,2
EPDR1,54749,4,2
EPHA7,2045,4,1
ERO1A,30001,4,2
ETS2,2114,4,2
FABP3,2170,4,2
FBXO32,114907,4,2
FCGR2A,2212,4,2
FETUB,26998,4,4
FGF2,2247,4,2
FMO1,2326,4,3
FOSB,2354,4,2
FUNDC1,139341,4,1
GALNT2,2590,4,2
GAS2,2620,4,2
GATA3,2625,4,2
GBP4,115361,4,1
GLRX,2745,4,2
GNA15,2769,4,2
GPAT3,84803,4,1
GPNMB,10457,4,2
GREM1,26585,4,2
GRIA2,2891,4,1
GSK3B,2932,4,2
GSTM4,2948,4,2
GSTT1,2952,4,2
HBB,3043,4,2
HMGCS1,3157,4,3
HSPA6,3310,4,1
ICAM2,3384,4,2
IFIH1,64135,4,1
IFT27,11020,4,2
IGFBP3,3486,4,2
IL13,3596,4,2
IL15,3600,4,1
IL17RA,23765,4,2
IL2RA,3559,4,1
IL32,9235,4,1
IL4,3565,4,1
INHBB,3625,4,1
INPP5D,3635,4,2
ISYNA1,51477,4,1
ITGA7,3679,4,2
ITIH4,3700,4,3
JCHAIN,3512,4,2
JUND,3727,4,3
KCNMA1,3778,4,1
KCTD4,386618,4,2
KIT,3815,4,3
KYNU,8942,4,1
LAMP3,27074,4,1
LDLR,3949,4,2
LEF1,51176,4,2
LGALS2,3957,4,2
LILRB4,11006,4,3
LITAF,9516,4,3
M6PR,4074,4,2
MAP3K1,4214,4,2
MAPK13,5603,4,3
MAPK9,5601,4,2
MCM5,4174,4,3
MFN1,55669,4,1
MGP,4256,4,1
MIR3120,100422882,4,1
MOXD1,26002,4,3
MT1F,4494,4,1
MT1G,4495,4,1
MTHFD2,10797,4,2
MX2,4600,4,2
MYOCD,93649,4,2
NAMPT,10135,4,2
NCAM1,4684,4,1
NCF2,4688,4,2
NDRG2,57447,4,2
NFATC4,4776,4,2
NFIX,4784,4,3
NFKB2,4791,4,2
NR1H3,10062,4,2
NRF1,4899,4,1
NRG1,3084,4,1
NUP214,8021,4,2
ODC1,4953,4,2
OGDH,4967,4,2
OSMR,9180,4,2
PBX1,5087,4,2
PDZD2,23037,4,1
PELO,53918,4,3
PFKFB3,5209,4,2
PIGM,93183,4,1
PLAUR,5329,4,2
PLG,5340,4,4
PLK3,1263,4,3
PLPP3,8613,4,2
PLSCR1,5359,4,1
PPARG,5468,4,2
PRICKLE1,144165,4,2
PRKDC,5591,4,2
PRNP,5621,4,2
PTGES,9536,4,2
PTPRB,5787,4,1
RAB32,10981,4,2
RAD51,5888,4,2
RASSF1,11186,4,2
RELB,5971,4,1
RHOH,399,4,2
ROBO2,6092,4,2
RPLP0,6175,4,2
RPTN,126638,4,1
RRBP1,6238,4,2
SDC2,6383,4,2
SDC4,6385,4,2
SDF2L1,23753,4,3
SEL1L3,23231,4,2
SELENOP,6414,4,2
SELP,6403,4,2
SERPINB1,1992,4,2
SERPIND1,3053,4,4
SERPINE2,5270,4,2
SFTPC,6440,4,2
SGK1,6446,4,3
SIK1,150094,4,2
SLAMF7,57823,4,1
SLC8A1,6546,4,1
SPI1,6688,4,2
STAT5B,6777,4,2
STX11,8676,4,1
SYNE1,23345,4,2
TAP1,6890,4,2
TAPBP,6892,4,1
TCF7L1,83439,4,2
TF,7018,4,2
TFAP2B,7021,4,1
TFEC,22797,4,2
TGM1,7051,4,4
THBS1,7057,4,2
TNC,3371,4,2
TNFAIP8L2,79626,4,2
TNFRSF12A,51330,4,3
TNFRSF1B,7133,4,1
TNFSF10,8743,4,1
TPM1,7168,4,3
TRIM22,10346,4,1
TTLL7,79739,4,2
TXNL1,9352,4,3
UNC93B1,81622,4,2
USP9X,8239,4,2
VCAN,1462,4,2
VDR,7421,4,1
VTG1,559475,4,1
VTN,7448,4,2
WIPF1,7456,4,1
XAF1,54739,4,1
YWHAH,7533,4,2
ZBTB10,65986,4,1
ZBTB16,7704,4,3
ZFP36,7538,4,3
ZMYM3,9203,4,2
ZYX,7791,4,2
AAMDC,28971,3,2
ABCA3,21,3,2
ABCA6,23460,3,1
ABCC1,4363,3,2
ABCC6,368,3,2
ABCF2,10061,3,1
ABL2,27,3,2
ABLIM3,22885,3,2
ACADL,33,3,2
ACADM,34,3,2
ACOX2,8309,3,1
ACP6,51205,3,2
ACSF2,80221,3,2
ACSL1,2180,3,2
ACSS2,55902,3,1
ACTC1,70,3,2
ACTG2,72,3,2
ADAM19,8728,3,3
ADGRE2,30817,3,1
ADGRE5,976,3,2
ADGRV1,84059,3,2
ADORA2A,135,3,1
AHCYL1,10768,3,2
AKT2,208,3,2
ALDH3A1,218,3,2
ALDH5A1,7915,3,1
ALDOC,230,3,1
ALOX5,240,3,2
ALYREF,10189,3,2
ANKRD50,57182,3,1
ANXA11,311,3,2
AOAH,313,3,2
APLNR,187,3,2
APOBEC3B,9582,3,1
APOBEC3G,60489,3,1
APOL6,80830,3,1
ARFGEF1,10565,3,1
ARG1,383,3,2
ARHGAP25,9938,3,1
ARHGDIA,396,3,2
ARHGEF1,9138,3,2
ARHGEF28,64283,3,2
ARL5B,221079,3,1
ARMCX4,100131755,3,1
ARRB2,409,3,2
ARSB,411,3,2
ASGR2,433,3,1
ASNS,440,3,2
ATF6,22926,3,1
ATP13A2,23400,3,2
ATP1A2,477,3,2
ATP1B1,481,3,3
ATP1B3,483,3,2
ATP6V1A,523,3,2
AURKA,6790,3,3
AZGP1,563,3,2
B2M,567,3,2
BAMBI,25805,3,1
BATF,10538,3,2
BATF2,116071,3,2
BCAM,4059,3,2
BHLHE40,8553,3,2
BHLHE41,79365,3,2
BMP2,650,3,1
BMP6,654,3,1
BNIP3L,665,3,2
BOP1,23246,3,2
BST2,684,3,1
BTD,686,3,2
BUB1B,701,3,2
C1QC,714,3,1
C1R,715,3,1
C5AR1,728,3,2
C7,730,3,2
C9,735,3,3
CA2,760,3,1
CACNA1E,777,3,2
CALU,813,3,2
CAP2,10486,3,2
CBX2,84733,3,1
CCDC88C,440193,3,1
CCL1,6346,3,1
CCL13,6357,3,1
CCL18,6362,3,1
CCL3L1,6349,3,1
CCL9,20308,3,2
CCNA1,8900,3,1
CCNB1,891,3,2
CCNB2,9133,3,2
CCNE2,9134,3,1
CCR1,1230,3,2
CD14,929,3,1
CD163,9332,3,1
CD180,4064,3,1
CD47,961,3,2
CD52,1043,3,2
