Gene Symbol,Gene ID,Interaction Count,Organism Count
TRP53,22059,4,1
TSC22D3,1831,4,2
TSPAN7,7102,4,3
TTF1,7270,4,2
TXNL1,9352,4,2
XAF1,54739,4,1
XDH,7498,4,4
ABCA5,23461,3,2
ABCB1,5243,3,3
ABHD12,26090,3,2
ABHD2B,559290,3,1
ACADVL,37,3,1
ACO1,48,3,3
ACTA2,59,3,3
ACTB,60,3,3
ACTG1,71,3,2
ACTL6A,86,3,1
ADM,133,3,2
AHCY,191,3,3
AHSG,197,3,2
AJUBA,84962,3,2
AKAP9,10142,3,2
ALDOC,230,3,2
ANG,283,3,2
AOC1,26,3,2
APBB3,10307,3,2
APLP1,333,3,2
APOA1,335,3,3
APOA2,336,3,2
APOC1,341,3,2
ARC,23237,3,1
ARHGDIA,396,3,2
ARHGDIB,397,3,2
ATF1,466,3,1
ATP1B1,481,3,3
ATP6AP2,10159,3,2
ATP6V0D1,9114,3,3
AURKB,9212,3,2
AXIN2,8313,3,3
BBC3,27113,3,1
BIRC3,330,3,2
BPNT1,10380,3,2
BTG1,694,3,2
BTG4,54766,3,2
C1R,715,3,2
C3,718,3,2
CACNA1G,8913,3,2
CACNG5,27091,3,1
CACYBP,27101,3,2
CALB2A,393691,3,1
CALR,811,3,2
CASP3A,140621,3,1
CASP4,837,3,3
CCDC80,151887,3,2
CCDC85A,114800,3,2
CCN2,1490,3,2
CCNA1,8900,3,2
CCNE1,898,3,1
CCNG1,900,3,2
CCPG1,9236,3,2
CD24,100133941,3,2
CD302,9936,3,2
CD9,928,3,2
CDCA3,83461,3,2
CDK12,51755,3,2
CDKN2A,1029,3,1
CDKN2C,1031,3,1
CDKN3,1033,3,1
CHAC1,79094,3,2
CHAF1A,10036,3,1
CHEK1,1111,3,2
CHEK2,11200,3,2
CHRNA9,55584,3,2
CKAP4,10970,3,2
CKB,1152,3,2
CKS2,1164,3,2
CLCA2,9635,3,3
CLCN6,1185,3,1
CLDND,81583,3,1
CLIC1,1192,3,3
CMKLR2,2825,3,3
COCH,1690,3,2
COL1A2,1278,3,2
COL5A1,1289,3,2
COL5A2,1290,3,2
COX5A,9377,3,2
COX6A1,1337,3,3
COX6B1,1340,3,2
COX7A2,1347,3,2
CREM,1390,3,1
CRISPLD2,83716,3,2
CSE1L,1434,3,2
CTNS,1497,3,2
CTRL,1506,3,3
CTSZ,1522,3,2
CYFIP2,26999,3,2
CYP2E1,1571,3,3
CYP51,13121,3,3
CYP7A1,1581,3,2
DDC,1644,3,3
DDX18,8886,3,2
DGAT1A,325875,3,1
DHRS2,10202,3,1
DLGAP5,9787,3,2
DLK2,65989,3,2
DNAJA1,3301,3,1
DNAJC3,5611,3,1
DPYS,1807,3,3
DUSP4,1846,3,2
E2F7,144455,3,2
EBF1,1879,3,2
EEF1A1,1915,3,2
EFHB,151651,3,2
EFNB2,1948,3,2
ENPP1,5167,3,2
EP300,2033,3,2
EPHX1,2052,3,1
ERBB2,2064,3,3
F2,2147,3,3
F2R,2149,3,1
FADS2,9415,3,3
FANCG,2189,3,2
FARP1,10160,3,3
FBXO5,26271,3,1
FDFT1,2222,3,3
FGF11,2256,3,2
FGFR4,2264,3,2
FKBP5,2289,3,2
