Gene Symbol,Gene ID,Interaction Count,Organism Count
RUNX2,860,2,1
S100A7,6278,2,1
SCGB1A1,7356,2,1
SELENBP1,8991,2,1
SERPINB8,5271,2,1
SERPINE1,5054,2,2
SERPINH1,871,2,1
SFTPC,6440,2,1
SHANK3,85358,2,1
SLC1A1,6505,2,1
SLC20A1,6574,2,2
SLC27A1,376497,2,1
SLC27A5,10998,2,2
SLC2A5,6518,2,2
SLC30A9,10463,2,1
SLC39A11,201266,2,1
SLC39A12,221074,2,1
SMO,6608,2,2
SNAI2,6591,2,2
SNAP25,6616,2,2
SPINK1,6690,2,2
SPP1,6696,2,2
STAU2,27067,2,2
STIP1,10963,2,1
STS,412,2,1
TAF7,6879,2,1
TBX1,6899,2,1
TENT5A,55603,2,1
TF,7018,2,1
TGM2,7052,2,1
TLR4,7099,2,1
TNFA,405785,2,1
TNFRSF11A,8792,2,1
TP73,7161,2,1
TPM1,7168,2,1
TSC22D3,1831,2,2
TTC9C,283237,2,2
TUBB3,10381,2,2
TXN,7295,2,1
TXNDC11,51061,2,1
UCP3,7352,2,2
UGT1A1,54658,2,1
UGT2B1,71773,2,1
UNC119,9094,2,1
VIPR2,7434,2,2
VNN1,8876,2,2
VTN,7448,2,1
XIAP,331,2,2
ZBTB43,23099,2,1
ZEB1,6935,2,1
ZFAND2A,90637,2,2
ZNF131,7690,2,2
A1BG,1,1,1
A2M,2,1,1
AARS1,16,1,1
AASDHPPT,60496,1,1
AASS,10157,1,1
ABCA1,19,1,1
ABCA9,10350,1,1
ABCB9,23457,1,1
ABCC4,10257,1,1
ABCF2,10061,1,1
ABCG5,64240,1,1
ABHD2,11057,1,1
ABL1,25,1,1
ABTB2,25841,1,1
ACADS,35,1,1
ACADVL,37,1,1
ACE,1636,1,1
ACKR3,57007,1,1
ACO1,48,1,1
ACO2,50,1,1
ACOT7,11332,1,1
ACOX2,8309,1,1
ACSL5,51703,1,1
ACSS2,55902,1,1
ACTA2,59,1,1
ACTB,60,1,1
ACTC1,70,1,1
ACTN3,89,1,1
ACTR3,10096,1,1
ACVR2A,92,1,1
ADA,100,1,1
ADAM12,8038,1,1
ADAM19,8728,1,1
ADAM2,2515,1,1
ADAM3A,1587,1,1
ADAM8,101,1,1
ADGRE1,2015,1,1
ADGRE3,84658,1,1
ADGRG2,10149,1,1
ADGRL4,64123,1,1
ADH1,11522,1,1
ADH1C,126,1,1
ADH4,127,1,1
ADH5,128,1,1
ADH6,130,1,1
ADIPOR2,79602,1,1
ADM,133,1,1
ADNP2,22850,1,1
ADRA1A,148,1,1
AEN,64782,1,1
AFDN-DT,653483,1,1
AFF4,27125,1,1
AGO2,27161,1,1
AGR2,10551,1,1
AGXT,189,1,1
AHCY,191,1,1
AHSA1,10598,1,1
AHSA2P,130872,1,1
AHSG,197,1,1
AK3,50808,1,1
AKAP17A,8227,1,1
AKIRIN1,79647,1,1
AKR1A1,10327,1,1
AKR1B7,11997,1,1
AKR1C1,1645,1,1
AKR1C14,105387,1,1
AKR1C3,8644,1,1
AKT2,208,1,1
AKT3,10000,1,1
ALAS1,211,1,1
ALDH1A1,216,1,1
ALDH1A2,8854,1,1
ALDH2,217,1,1
ALDH3B1,221,1,1
ALDOA,226,1,1
ALG2,85365,1,1
ALOX15,246,1,1
