Gene Symbol,Gene ID,Interaction Count,Organism Count
GTF3C2,2976,2,1
H2,111364,2,1
H2AX,3014,2,1
HAMP,57817,2,2
HAPLN2,60484,2,2
HAVCR1,26762,2,2
HBA,15121,2,1
HECTD4,283450,2,1
HLA-DRB1,3123,2,1
HMGCRA,559054,2,1
HNRNPD,3184,2,1
HNRNPM,4670,2,1
HNRNPR,10236,2,1
HOMER1,9456,2,1
HOXD9,3235,2,1
HP,3240,2,1
HRAS,3265,2,2
HSD3B,111785,2,1
HSP90AB1,3326,2,1
HSPA1A,3303,2,2
HTT,3064,2,1
ID2,3398,2,1
IGF1R,3480,2,1
IGF2BP2,10644,2,1
IGFBP6,3489,2,1
IGHM,3507,2,2
IL12B,3593,2,2
IL13RA2,3598,2,1
IL2,3558,2,1
IL6RA,16194,2,1
INOS,35671,2,1
INPP5F,22876,2,2
INSM1,3642,2,1
INTS9,55756,2,1
IRF8,3394,2,2
ITGA6,3655,2,1
ITGAM,3684,2,1
ITIH4,3700,2,2
ITPR2,3709,2,1
JAKMIP3,282973,2,1
KDM1A,23028,2,1
KEAP1A,321837,2,1
KIF5A,3798,2,1
KLHDC10,23008,2,1
KRT14,3861,2,2
KRT16,3868,2,1
LAP3,51056,2,2
LAS1L,81887,2,1
LCT,3938,2,2
LHB,3972,2,2
LHX3,8022,2,1
LONRF2,164832,2,1
LPAR1,1902,2,1
LRIG3,121227,2,2
LRP1,4035,2,1
LRRK2,120892,2,1
LTA,4049,2,1
MAFG,4097,2,1
MANBA,4126,2,2
MAO,404730,2,2
MAPK8,5599,2,2
MAPK9,5601,2,1
MARVELD2,153562,2,1
MAT2A,4144,2,1
MBP,4155,2,2
MBPA,326281,2,1
MCL1,4170,2,1
MCM3,4172,2,1
MEF2C,4208,2,2
MEIG1,644890,2,1
METTL5,29081,2,1
MFAS,41455,2,1
MGST1,4257,2,1
MGST3B,567275,2,1
MICAL3,57553,2,1
MIR122,406906,2,1
MIR124-1,406907,2,1
MIR146A,406938,2,1
MIR203,387199,2,1
MIR222,407007,2,2
MIR494,574452,2,2
MLH1,4292,2,1
MSL1,339287,2,1
MSMO1,6307,2,1
MT1A,4489,2,2
MTDH,92140,2,1
MTL-1,179060,2,1
MUTYH,4595,2,2
MVK,4598,2,1
MYC,4609,2,1
MYL2,4633,2,1
MYLIP,29116,2,1
MYT1,4661,2,1
NCDN,23154,2,1
NCOA7,135112,2,1
NDUFB8,4714,2,1
NEFH,4744,2,2
NES,10763,2,1
NEUROG1,4762,2,1
NFIA,4774,2,2
NGB,58157,2,2
NGFR,4804,2,1
NLGN3,54413,2,1
NOVA1,4857,2,1
NPPB,4879,2,2
NR0B2,8431,2,2
NR1I2,8856,2,1
NR4A1,3164,2,2
NRXN2,9379,2,1
NRXN3,9369,2,1
NTN1,9423,2,1
NUMB,8650,2,1
OCRL,4952,2,1
OGG1,4968,2,2
OTX2,5015,2,1
PAPSS1,9061,2,1
PCYT1B,9468,2,1
PDE4DIP,9659,2,1
PDGFB,5155,2,1
PDLIM7,9260,2,1
PFKL,5211,2,1
PGAP4,84302,2,1
PGK1,5230,2,1
PHF23,79142,2,1
PIAS2,9063,2,1
PIGX,54965,2,1
PIK3CG,5294,2,1
PITHD1,57095,2,1
PITPNC1,26207,2,2
PKIA,5569,2,1
PLAGL1,5325,2,2
PLEKHB1,58473,2,1
PLXNB2,23654,2,1
PNMA8A,55228,2,1
PNPLA2,57104,2,1
POLR2G,5436,2,1
POU3F1,5453,2,1
POU3F3,5455,2,1
POU4F1,5457,2,1
POU6F1,5463,2,1
PPM1H,57460,2,1
PPP1R11,6992,2,1
PPP1R12A,4659,2,1
PPP2CA,5515,2,1
PRDX2,7001,2,1
PRKCB,5579,2,2
PRPF19,27339,2,2
PSEN1,5663,2,2
PSMB7,5695,2,1
PSMD2,5708,2,1
PSME4,23198,2,2
PTCHD1,139411,2,2
PTK2,5747,2,2
PTP99A,43469,2,1
PTPRF,5792,2,1
R3HDM2,22864,2,1
RAB30,27314,2,1
RAB7A,7879,2,1
RAC1,5879,2,1
RACK1,10399,2,1
RAD51C,5889,2,1
RAN,5901,2,1
RAPGEF1,2889,2,1
RBL2,5934,2,1
RBM12,10137,2,1
RHO,6010,2,1
RHOA,387,2,1
RNASE4,6038,2,1
RNMT,8731,2,1
RPL13A,23521,2,2
RPL35A,6165,2,1
RPL6,6128,2,2
RPS6KB1,6198,2,1
RPS9,6203,2,2
RPTOR,57521,2,1
RRM2,6241,2,1
RTN4,57142,2,1
RTN4R,65078,2,1
RUFY1,80230,2,1
SACS,26278,2,2
SCAMP1,9522,2,1
SDC3,9672,2,1
SDHB,6390,2,1
SELENOT,51714,2,1
SEMA6A,57556,2,1
SEPTIN12,124404,2,1
SEPTIN5,5413,2,1
SERPINA1B,20701,2,1
SERPINA3,12,2,1
SH3KBP1,30011,2,1
SHKBP1,92799,2,1
SLC16A3,9123,2,1
SLC1A2,6506,2,1
SLC1A3,6507,2,1
SLC22A8,9376,2,1
SLC39A9,55334,2,2
SLC48A1,55652,2,1
SLC6A2,6530,2,2
SNF8,11267,2,1
SNHG12,85028,2,1
SNRPB,6628,2,1
SNRPF,6636,2,2
SNX6,58533,2,1
SOCS1,8651,2,1
SOD3,6649,2,2
SORCS2,57537,2,2
SOST,50964,2,2
SPATC1L,84221,2,1
SPP1,6696,2,1
SRC,6714,2,1
SREBF1,6720,2,2
SRF,6722,2,1
SRRT,51593,2,1
ST8SIA2,8128,2,2
STAT3,6774,2,2
SUGP1,57794,2,1
SUMO1,7341,2,1
TACC1,6867,2,1
TAGLN3,29114,2,1
TAX-2,172723,2,1
TAX-4,176297,2,1
TBRG1,84897,2,1
TBX2,6909,2,1
TDP1,55775,2,1
THRAA,30670,2,1
THRB,7068,2,1
TLR4,7099,2,1
TMEM9B,56674,2,1
