Gene Symbol,Gene ID,Interaction Count,Organism Count
ARHGAP23,57636,3,2
ARHGAP35,2909,3,2
ARHGDIA,396,3,2
ARL4A,10124,3,2
ASAP2,8853,3,1
ASH1L,55870,3,2
ASPH,444,3,2
ASPM,259266,3,3
ATAT1,79969,3,2
ATG12,9140,3,2
ATG13,9776,3,2
ATP11B,23200,3,2
ATXN2L,11273,3,2
ATXN7L3B,552889,3,2
AUP1,550,3,2
AZIN1,51582,3,1
BACE1,23621,3,1
BCAR1,9564,3,2
BCL2L12,83596,3,2
BCL3,602,3,2
BCL6,604,3,1
BCL9L,283149,3,2
BLVRB,645,3,3
BMP2K,55589,3,3
BMP7,655,3,2
BPTF,2186,3,2
BRAF,673,3,2
BRCA2,675,3,2
BST2,684,3,2
BTN2A1,11120,3,1
CACNA1D,776,3,3
CALHM5,254228,3,1
CAMK2G,818,3,1
CAPN6,827,3,2
CAR2,12349,3,1
CARM1,10498,3,2
CASP3A,140621,3,2
CBS,875,3,3
CCDC32,90416,3,2
CCDC86,79080,3,2
CCL5,6352,3,2
CCNE2,9134,3,2
CD14,929,3,1
CD151,977,3,2
CD276,80381,3,2
CD302,9936,3,2
CD81,975,3,1
CD9,928,3,2
CDC26,246184,3,2
CDC42SE2,56990,3,2
CDK2AP2,10263,3,3
CDKN1C,1028,3,1
CDKN3,1033,3,3
CDR-1,180064,3,1
CEACAM1,634,3,1
CENPA,1058,3,1
CENPF,1063,3,2
CHPT1,56994,3,2
CIRBP,1153,3,3
CKB,1152,3,2
CLCN7,1186,3,2
CLK1,1195,3,2
CNN3,1266,3,1
COL2A1,1280,3,1
COL5A2,1290,3,2
COL6A1,1291,3,2
COPS3,8533,3,1
COX5B,1329,3,2
COX6A1,1337,3,3
CPE,1363,3,2
CPEB3,22849,3,1
CPT1B,1375,3,2
CRABP1,1381,3,2
CSF2,1437,3,2
CSK,1445,3,2
CSNK1G3,1456,3,2
CTSL,1514,3,2
CTSO,1519,3,1
CTSS,1520,3,1
CUBN,8029,3,2
CXCL10,3627,3,2
CXCL3,2921,3,2
CYGB,114757,3,2
CYP2E1,1571,3,3
CYP-35A2,182177,3,1
CYRIB,51571,3,2
CYTB,4519,3,3
DAD1,1603,3,2
DBI,1622,3,2
DBN1,1627,3,2
DCX,1641,3,1
DCXR,51181,3,2
DDOST,1650,3,2
DDX17,10521,3,2
DDX4,54514,3,2
DENND6A,201627,3,2
DGAT1,8694,3,2
DHCR24,1718,3,2
DHX15,1665,3,2
DLAT,1737,3,2
DMAC2L,27109,3,1
DNAJC5,80331,3,2
DNMT3B,1789,3,3
DOT1L,84444,3,1
DPF3,8110,3,2
DRD2,1813,3,1
DSG1,1828,3,1
DSP,1832,3,1
DUSP10,11221,3,2
EBAG9,9166,3,1
ECHS1,1892,3,3
EEA1,8411,3,2
EEF1B2,1933,3,2
EGR2,1959,3,2
EIF4EBP1,1978,3,2
EIF4G3,8672,3,2
EIF5A,1984,3,2
ELOVL2,54898,3,3
ELOVL6,79071,3,3
ENG,2022,3,1
EPAS1,2034,3,2
EPB41L3,23136,3,2
EPHX1,2052,3,2
EPO,2056,3,2
ERBB2,2064,3,2
ERGIC3,51614,3,2
ERO1B,56605,3,3
ERRFI1,54206,3,2
ERVFRD-1,405754,3,1
ETV5,2119,3,2
EXOC5,10640,3,2
F5,2153,3,2
FAM117B,150864,3,3
FBN1,2200,3,1
FBXO3,26273,3,2
FBXO30,84085,3,2
FCGRT,2217,3,2
FDPS,2224,3,3
FGA,2243,3,2
FGF23,8074,3,2
FGGY,55277,3,2
FILIP1L,11259,3,2
FIP1L1,81608,3,2
FKBP9,11328,3,1
FLNB,2317,3,2
FLOT2,2319,3,2
FMO5,2330,3,2
FOXA2,3170,3,2
FOXM1,2305,3,1
FST,10468,3,2
FTCD,10841,3,3
FTL,2512,3,1
FUT1,2523,3,3
GADD45B,4616,3,1
